Autovetture distinte per regione alimentazione e fascia di cilindrata Anno 2021,,,,,,,,,,,,
REGIONE,ALIMENTAZIONE,FASCIA,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,Non contemplato,Non identificato,TOTALE
PIEMONTE,BENZINA,Fino a 1400,131289,22606,94805,125001,290591,153929,342301,,839,1161361
PIEMONTE,,1401 - 2000,39706,14362,30550,19038,42024,17953,41919,,157,205709
PIEMONTE,,Oltre 2000,7192,1606,2632,2296,5204,1641,3835,,29,24435
PIEMONTE,,Non definito,22,,,,,,,,2,24
PIEMONTE,BENZINA Totale,,178209,38574,127987,146335,337819,173523,388055,,1027,1391529
PIEMONTE,BENZINA E GAS LIQUIDO,Fino a 1400,4464,734,3228,3769,65802,46931,102012,,6,226946
PIEMONTE,,1401 - 2000,6004,2117,4839,3044,12907,9048,12970,,5,50934
PIEMONTE,,Oltre 2000,531,223,470,405,1100,94,29,,1,2853
PIEMONTE,,Non definito,27,2,,1,7,,,,,37
PIEMONTE,BENZINA E GAS LIQUIDO Totale,,11026,3076,8537,7219,79816,56073,115011,,12,280770
PIEMONTE,BENZINA E METANO,Fino a 1400,287,43,134,255,12284,6734,6040,,,25777
PIEMONTE,,1401 - 2000,303,85,182,448,2354,10,29,,1,3412
PIEMONTE,,Oltre 2000,26,5,8,6,85,6,,,,136
PIEMONTE,BENZINA E METANO Totale,,616,133,324,709,14723,6750,6069,,1,29325
PIEMONTE,ELETTRICITA,Non contemplato,,,,,,,,8652,,8652
PIEMONTE,ELETTRICITA Totale,,,,,,,,,8652,,8652
PIEMONTE,GASOLIO,Fino a 1400,3191,226,80,14352,84915,61849,34532,,1,199146
PIEMONTE,,1401 - 2000,14407,4287,23244,82751,147564,193859,290957,,3,757072
PIEMONTE,,Oltre 2000,10214,3156,13024,22468,24843,21117,26070,,8,120900
PIEMONTE,,Non definito,1,,,1,,,,,,2
PIEMONTE,GASOLIO Totale,,27813,7669,36348,119572,257322,276825,351559,,12,1077120
PIEMONTE,IBRIDO BENZINA,Fino a 1400,,,,,46,360,43124,,,43530
PIEMONTE,,1401 - 2000,,,,,217,2370,31224,,,33811
PIEMONTE,,Oltre 2000,,,,,92,77,4021,,,4190
PIEMONTE,IBRIDO BENZINA Totale,,,,,,355,2807,78369,,,81531
PIEMONTE,IBRIDO GASOLIO,1401 - 2000,,,,,,134,4120,,,4254
PIEMONTE,,Oltre 2000,,,,,,18,1083,,,1101
PIEMONTE,IBRIDO GASOLIO Totale,,,,,,,152,5203,,,5355
PIEMONTE,METANO,Fino a 1400,14,2,5,1,6,608,1999,,,2635
PIEMONTE,,1401 - 2000,11,2,5,16,375,162,817,,,1388
PIEMONTE,,Oltre 2000,1,,,,3,,1,,,5
PIEMONTE,METANO Totale,,26,4,10,17,384,770,2817,,,4028
PIEMONTE,ALTRE,Fino a 1400,58,,,,1,3,1,,,63
PIEMONTE,,1401 - 2000,,,,2,,1,,,,3
PIEMONTE,,Oltre 2000,,,,,,,1,,,1
PIEMONTE,ALTRE Totale,,58,,,2,1,4,2,,,67
PIEMONTE,NON DEFINITO,Fino a 1400,25,,1,7,1,,,,2,36
PIEMONTE,,1401 - 2000,3,,1,2,2,,,,,8
PIEMONTE,,Oltre 2000,,,,1,,,,,,1
PIEMONTE,,Non definito,11,,,,1,,,,16,28
PIEMONTE,NON DEFINITO Totale,,39,,2,10,4,,,,18,73
PIEMONTE Totale,,,217787,49456,173208,273864,690424,516904,947085,8652,1070,2878450
VALLE D'AOSTA,BENZINA,Fino a 1400,4152,637,2802,3865,10963,5508,53768,,8,81703
VALLE D'AOSTA,,1401 - 2000,1473,570,1317,904,2615,677,3328,,,10884
VALLE D'AOSTA,,Oltre 2000,193,58,93,80,192,44,1226,,,1886
VALLE D'AOSTA,BENZINA Totale,,5818,1265,4212,4849,13770,6229,58322,,8,94473
VALLE D'AOSTA,BENZINA E GAS LIQUIDO,Fino a 1400,33,7,27,49,993,401,740,,,2250
VALLE D'AOSTA,,1401 - 2000,63,25,51,37,227,77,97,,1,578
VALLE D'AOSTA,,Oltre 2000,15,6,14,8,34,4,,,,81
VALLE D'AOSTA,BENZINA E GAS LIQUIDO Totale,,111,38,92,94,1254,482,837,,1,2909
VALLE D'AOSTA,BENZINA E METANO,Fino a 1400,1,,2,4,73,99,97,,,276
VALLE D'AOSTA,,1401 - 2000,5,4,1,5,16,,1,,,32
VALLE D'AOSTA,,Oltre 2000,,1,,,1,,,,,2
VALLE D'AOSTA,BENZINA E METANO Totale,,6,5,3,9,90,99,98,,,310
VALLE D'AOSTA,ELETTRICITA,Non contemplato,,,,,,,,1640,,1640
VALLE D'AOSTA,ELETTRICITA Totale,,,,,,,,,1640,,1640
