EU15+EFTA - IMMATRICOLAZIONI AUTO AD ALIMENTAZIONE ALTERNATIVA,,,,,,,,,,,,
EU15+EFTA - NEW REGISTRATIONS OF ALTERNATIVE FUEL CARS,,,,,,,,,,,,
COUNTRY,Elettriche2020,Elettriche2021,ElettrichePERC,Plug in ibrido-elettriche2020,Plug in ibrido-elettriche2021,Plug in ibrido-elettrichePERC,Ibrido elettriche2020,Ibrido elettriche2021,Ibrido elettrichePERC,Metano+gpl+etanolo2020,Metano+gpl+etanolo2021,Metano+gpl+etanoloPERC
Austria,15986,33380,1088,7641,14626,914,26026,41970,613,407,86,-3733
Belgium,14994,22677,512,31694,47761,507,15204,19684,295,3864,3087,-252
Bulgaria2,139,321,1309,41,97,1366,429,636,483,164,95,-726
Croatia,533,1475,1767,143,399,179,2180,6440,1954,715,1997,642
Cyprus,42,82,952,83,97,169,1408,2476,759,0,2,100
Czech Republic,3284,2701,-178,1981,3907,972,12769,25410,99,2586,3115,17
Denmark,14275,25000,751,18243,40478,1219,9637,8841,-83,0,0,
Estonia,342,484,415,75,167,1227,2715,6393,1355,664,466,-425
Finland,4244,10152,1392,13231,20139,522,18726,28106,501,1840,921,-998
France,111127,162167,459,74592,141001,89,168873,289837,716,16965,49016,654
Germany,194471,356425,833,200469,325449,623,327395,429139,311,13704,14074,26
Greece,679,2176,2205,1456,4785,2286,11751,23382,99,1780,3394,476
Hungary,3046,4312,416,2996,4236,414,31772,48145,515,335,727,539
Ireland,4013,8646,1154,2492,7891,2167,10986,19247,752,0,622,
Italy,32502,67283,107,27407,70472,1571,221931,422190,902,125086,138250,95
Latvia,307,425,384,73,144,973,1895,3652,927,140,281,502
Lithuania,453,1155,155,0,0,,8293,12420,498,81,312,74
Luxembourg,2473,4650,88,2685,4443,655,3797,7225,903,3,3,0
Netherlands,73005,64149,-121,14891,31016,1083,47583,71539,503,1981,2266,126
Poland,3679,7164,947,4505,9269,1057,66251,122176,844,9374,13555,308
Portugal,7830,13260,693,11867,15660,32,11902,19082,603,1845,3555,481
Romania,2845,6342,1229,1036,2630,1539,14271,30706,1152,9278,15952,418
Slovakia,918,1105,204,863,1166,351,7233,15148,1094,946,1188,204
Slovenia,1647,1722,46,39,191,3897,1719,5783,2364,184,572,678
Spain,17927,23690,321,23309,43226,854,137425,219423,597,13084,14043,68
Sweden,27973,57489,1055,66105,77842,178,22355,22189,-07,3502,2669,-312
EUROPEAN UNION,538734,878432,631,507917,867092,707,1184526,1901239,605,208528,269937,227
Iceland,2356,3561,511,1859,3420,84,1174,2271,934,36,7,-4143
Norway,76804,113751,481,28909,38166,32,12246,9780,-201,5,0,
Switzerland,19545,31889,632,14429,21790,51,32148,52181,623,564,289,-952
United Kingdom,108205,190727,763,67134,114554,706,289992,444024,531,0,0,
